restaurant_id,menu_item_id,customer_demand_trend,pattern_strength
R04,M22,stable,0.09
R04,M23,stable,0.12
R04,M24,stable,0.12
R04,M25,stable,0.11
R04,M26,stable,0.11
R04,M27,stable,0.1
R04,M28,stable,0.08
R04,M29,stable,0.09
R04,M30,stable,0.08
R04,M31,stable,0.11
R04,M32,stable,0.1
R04,M33,stable,0.11
R04,M34,stable,0.13
R04,M35,stable,0.05
R04,M36,stable,0.05
R04,M37,stable,0.06
R04,M38,stable,0.06
R04,M39,stable,0.07
R04,M40,stable,0.12
R04,M41,stable,0.08
R04,M42,stable,0.09
R04,M43,stable,0.11
R04,M44,stable,0.12
R04,M45,stable,0.09
R04,M46,stable,0.1
R04,M47,stable,0.08
R04,M48,stable,0.08
R04,M49,stable,0.12
R04,M50,stable,0.07
R05,M01,stable,0.07
R05,M02,stable,0.09
R05,M03,stable,0.08
R05,M04,stable,0.06
R05,M05,stable,0.11
R05,M06,stable,0.12
R05,M07,stable,0.04
R05,M08,stable,0.05
R05,M09,stable,0.11
R05,M10,stable,0.09
R05,M11,stable,0.09
R05,M12,stable,0.08
R05,M13,stable,0.07
R05,M14,stable,0.07
R05,M15,stable,0.11
R05,M16,stable,0.08
R05,M17,stable,0.09
R05,M18,stable,0.09
R05,M19,stable,0.06
R05,M20,stable,0.08
R05,M21,stable,0.11
R05,M22,stable,0.07
R05,M23,stable,0.1
R05,M24,stable,0.09
R05,M25,stable,0.1
R05,M26,stable,0.08
R05,M27,stable,0.05
R05,M28,stable,0.07
R05,M29,stable,0.06
R05,M30,stable,0.08
R05,M31,stable,0.1
R05,M32,stable,0.09
R05,M33,stable,0.06
R05,M34,stable,0.11
R05,M35,stable,0.05
R05,M36,stable,0.1
R05,M37,stable,0.07
R05,M38,stable,0.08
R05,M39,stable,0.11
R05,M40,stable,0.05
R05,M41,stable,0.07
R05,M42,stable,0.08
R05,M43,stable,0.09
R05,M44,stable,0.09
R05,M45,stable,0.08
R05,M46,stable,0.12
R05,M47,stable,0.09
R05,M48,stable,0.03
R05,M49,stable,0.14
R05,M50,stable,0.06
R06,M01,stable,0.09
R06,M02,stable,0.11
R06,M03,stable,0.12
R06,M04,stable,0.12
R06,M05,stable,0.08
R06,M06,stable,0.08
R06,M07,stable,0.1
R06,M08,stable,0.06
R06,M09,stable,0.11
R06,M10,stable,0.07
R06,M11,stable,0.12
R06,M12,stable,0.13
R06,M13,stable,0.11
R06,M14,stable,0.14
R06,M15,stable,0.07
R06,M16,stable,0.14
R06,M17,stable,0.1
R06,M18,stable,0.09
R06,M19,stable,0.12
R06,M20,stable,0.07
R06,M21,stable,0.14
R06,M22,stable,0.07
R06,M23,stable,0.1
R06,M24,stable,0.09
R06,M25,stable,0.11
R06,M26,stable,0.09
R06,M27,stable,0.11
R06,M28,stable,0.09
R06,M29,stable,0.11
R06,M30,stable,0.08
R06,M31,stable,0.11
R06,M32,stable,0.13
R06,M33,stable,0.09
R06,M34,stable,0.16
R06,M35,stable,0.09
R06,M36,stable,0.04
R06,M37,stable,0.12
R06,M38,stable,0.05
R06,M39,stable,0.1
R06,M40,stable,0.06
R06,M41,stable,0.08
R06,M42,stable,0.1
R06,M43,stable,0.11
R06,M44,stable,0.12
R06,M45,stable,0.12
R06,M46,stable,0.13
R06,M47,stable,0.13
R06,M48,stable,0.07
R06,M49,stable,0.07
R06,M50,stable,0.08
R07,M01,stable,0.07
R07,M02,stable,0.1
R07,M03,stable,0.09
R07,M04,stable,0.08
R07,M05,stable,0.08
R07,M06,stable,0.06
R07,M07,stable,0.05
R07,M08,stable,0.08
R07,M09,stable,0.1
R07,M10,stable,0.09
R07,M11,stable,0.1
R07,M12,stable,0.08
R07,M13,stable,0.07
R07,M14,stable,0.11
R07,M15,stable,0.09
R07,M16,stable,0.11
R07,M17,stable,0.11
R07,M18,stable,0.1
R07,M19,stable,0.06
R07,M20,stable,0.02
R07,M21,stable,0.09
R07,M22,stable,0.06
R07,M23,stable,0.11
R07,M24,stable,0.05
R07,M25,stable,0.08
R07,M26,stable,0.09
R07,M27,stable,0.08
R07,M28,stable,0.1
R07,M29,stable,0.07
R07,M30,stable,0.08
R07,M31,stable,0.13
R07,M32,stable,0.1
R07,M33,stable,0.07
R07,M34,stable,0.16
R07,M35,stable,0.05
R07,M36,stable,0.06
R07,M37,stable,0.07
R07,M38,stable,0.04
R07,M39,stable,0.09
R07,M40,stable,0.08
R07,M41,stable,0.07
R07,M42,stable,0.11
R07,M43,stable,0.07
R07,M44,stable,0.1
R07,M45,stable,0.09
R07,M46,stable,0.1
R07,M47,stable,0.1
R07,M48,stable,0.05
R07,M49,stable,0.09
R07,M50,stable,0.07
R08,M01,stable,0.08
R08,M02,stable,0.07
R08,M03,stable,0.06
R08,M04,stable,0.1
R08,M05,stable,0.09
R08,M06,stable,0.06
R08,M07,stable,0.07
R08,M08,stable,0.06
R08,M09,stable,0.11
R08,M10,stable,0.08
R08,M11,stable,0.12
R08,M12,stable,0.1
R08,M13,stable,0.1
R08,M14,stable,0.12
R08,M15,stable,0.1
R08,M16,stable,0.09
R08,M17,stable,0.11
R08,M18,stable,0.12
R08,M19,stable,0.08
R08,M20,stable,0.07
R08,M21,stable,0.06
R08,M22,stable,0.07
R08,M23,stable,0.06
R08,M24,stable,0.11
R08,M25,stable,0.08
R08,M26,stable,0.08
R08,M27,stable,0.1
R08,M28,stable,0.06
R08,M29,stable,0.07
R08,M30,stable,0.09
R08,M31,stable,0.15
R08,M32,stable,0.11
R08,M33,stable,0.05
R08,M34,stable,0.1
R08,M35,stable,0.07
R08,M36,stable,0.08
R08,M37,stable,0.07
R08,M38,stable,0.04
R08,M39,stable,0.1
R08,M40,stable,0.09
R08,M41,stable,0.08
R08,M42,stable,0.08
R08,M43,stable,0.08
R08,M44,stable,0.11
R08,M45,stable,0.11
R08,M46,stable,0.09
R08,M47,stable,0.07
R08,M48,stable,0.08
R08,M49,stable,0.11
R08,M50,stable,0.07
R09,M01,stable,0.12
R09,M02,stable,0.07
R09,M03,stable,0.1
R09,M04,stable,0.07
R09,M05,stable,0.07
R09,M06,stable,0.1
R09,M07,stable,0.07
R09,M08,stable,0.1
R09,M09,stable,0.11
R09,M10,stable,0.09
R09,M11,stable,0.12
R09,M12,stable,0.1
R09,M13,stable,0.13
R09,M14,stable,0.11
R09,M15,stable,0.12
R09,M16,stable,0.12
R09,M17,stable,0.1
R09,M18,stable,0.07
R09,M19,stable,0.1
R09,M20,stable,0.05
R09,M21,stable,0.09
R09,M22,stable,0.08
R09,M23,stable,0.09
R09,M24,stable,0.09
R09,M25,stable,0.1
R09,M26,stable,0.09
R09,M27,stable,0.1
R09,M28,stable,0.08
R09,M29,stable,0.08
R09,M30,stable,0.08
R09,M31,stable,0.11
R09,M32,stable,0.13
R09,M33,stable,0.08
R09,M34,stable,0.15
R09,M35,stable,0.07
R09,M36,stable,0.09
R09,M37,stable,0.08
R09,M38,stable,0.05
R09,M39,stable,0.1
R09,M40,stable,0.09
R09,M41,stable,0.12
R09,M42,stable,0.13
R09,M43,stable,0.11
R09,M44,stable,0.13
R09,M45,stable,0.1
R09,M46,stable,0.08
R09,M47,stable,0.12
R09,M48,stable,0.04
R09,M49,stable,0.16
R09,M50,stable,0.1
R10,M01,stable,0.06
R10,M02,stable,0.08
R10,M03,stable,0.09
R10,M04,stable,0.1
R10,M05,stable,0.1
R10,M06,stable,0.12
R10,M07,stable,0.08
R10,M08,stable,0.08
R10,M09,stable,0.08
R10,M10,stable,0.1
R10,M11,stable,0.1
R10,M12,stable,0.1
R10,M13,stable,0.09
R10,M14,stable,0.12
R10,M15,stable,0.1
R10,M16,stable,0.13
R10,M17,stable,0.12
R10,M18,stable,0.1
R10,M19,stable,0.07
R10,M20,stable,0.05
R10,M21,stable,0.11
R10,M22,stable,0.1
R10,M23,stable,0.11
R10,M24,stable,0.1
R10,M25,stable,0.08
R10,M26,stable,0.08
R10,M27,stable,0.08
R10,M28,stable,0.09
R10,M29,stable,0.11
R10,M30,stable,0.07
R10,M31,stable,0.11
R10,M32,stable,0.11
R10,M33,stable,0.13
R10,M34,stable,0.09
R10,M35,stable,0.1
R10,M36,stable,0.1
R10,M37,stable,0.09
R10,M38,stable,0.04
R10,M39,stable,0.11
R10,M40,stable,0.1
R10,M41,stable,0.11
R10,M42,stable,0.08
R10,M43,stable,0.1
R10,M44,stable,0.09
R10,M45,stable,0.07
R10,M46,stable,0.07
R10,M47,stable,0.11
R10,M48,stable,0.11
R10,M49,stable,0.09
R10,M50,stable,0.06
R11,M01,stable,0.11
R11,M02,stable,0.1
R11,M03,stable,0.1
R11,M04,stable,0.11
R11,M05,stable,0.07
R11,M06,stable,0.11
R11,M07,stable,0.04
R11,M08,stable,0.04
R11,M09,stable,0.08
R11,M10,stable,0.07
R11,M11,stable,0.15
R11,M12,stable,0.1
R11,M13,stable,0.14
R11,M14,stable,0.11
R11,M15,stable,0.04
R11,M16,stable,0.1
R11,M17,stable,0.09
R11,M18,stable,0.12
R11,M19,stable,0.06
R11,M20,stable,0.1
R11,M21,stable,0.11
R11,M22,stable,0.11
R11,M23,stable,0.07
R11,M24,stable,0.06
R11,M25,stable,0.09
R11,M26,stable,0.09
R11,M27,stable,0.09
R11,M28,stable,0.07
R11,M29,stable,0.08
R11,M30,stable,0.09
R11,M31,stable,0.1
R11,M32,stable,0.1
R11,M33,stable,0.11
R11,M34,stable,0.1
R11,M35,stable,0.08
R11,M36,stable,0.07
R11,M37,stable,0.05
R11,M38,stable,0.06
R11,M39,stable,0.09
R11,M40,stable,0.07
R11,M41,stable,0.1
R11,M42,stable,0.06
R11,M43,stable,0.09
R11,M44,stable,0.09
R11,M45,stable,0.09
R11,M46,stable,0.12
R11,M47,stable,0.1
R11,M48,stable,0.06
R11,M49,stable,0.16
R11,M50,stable,0.08
R12,M01,stable,0.09
R12,M02,stable,0.11
R12,M03,stable,0.1
R12,M04,stable,0.12
R12,M05,stable,0.12
R12,M06,stable,0.04
R12,M07,stable,0.08
R12,M08,stable,0.1
R12,M09,stable,0.07
R12,M10,stable,0.12
R12,M11,stable,0.11
R12,M12,stable,0.08
R12,M13,stable,0.11
R12,M14,stable,0.11
R12,M15,stable,0.09
R12,M16,stable,0.05
R12,M17,stable,0.12
R12,M18,stable,0.13
R12,M19,stable,0.1
R12,M20,stable,0.04
R12,M21,stable,0.09
R12,M22,stable,0.06
R12,M23,stable,0.08
R12,M24,stable,0.11
R12,M25,stable,0.09
R12,M26,stable,0.1
R12,M27,stable,0.07
R12,M28,stable,0.1
R12,M29,stable,0.09
R12,M30,stable,0.07
R12,M31,stable,0.08
R12,M32,stable,0.08
R12,M33,stable,0.05
R12,M34,stable,0.1
R12,M35,stable,0.08
R12,M36,stable,0.07
R12,M37,stable,0.1
R12,M38,stable,0.08
R12,M39,stable,0.09
R12,M40,stable,0.04
R12,M41,stable,0.1
R12,M42,stable,0.09
R12,M43,stable,0.11
R12,M44,stable,0.06
R12,M45,stable,0.1
R12,M46,stable,0.09
R12,M47,stable,0.09
R12,M48,stable,0.11
R12,M49,stable,0.09
R12,M50,stable,0.04
R13,M01,stable,0.08
R13,M02,stable,0.08
R13,M03,stable,0.08
R13,M04,stable,0.06
R13,M05,stable,0.09
R13,M06,stable,0.09
R13,M07,stable,0.03
R13,M08,stable,0.05
R13,M09,stable,0.08
R13,M10,stable,0.08
R13,M11,stable,0.13
R13,M12,stable,0.11
R13,M13,stable,0.07
R13,M14,stable,0.1
R13,M15,stable,0.08
R13,M16,stable,0.07
R13,M17,stable,0.09
R13,M18,stable,0.07
R13,M19,stable,0.06
R13,M20,stable,0.06
R13,M21,stable,0.09
R13,M22,stable,0.05
R13,M23,stable,0.1
R13,M24,stable,0.06
R13,M25,stable,0.07
R13,M26,stable,0.07
R13,M27,stable,0.1
R13,M28,stable,0.08
R13,M29,stable,0.1
R13,M30,stable,0.08
R13,M31,stable,0.1
R13,M32,stable,0.1
R13,M33,stable,0.11
R13,M34,stable,0.11
R13,M35,stable,0.05
R13,M36,stable,0.07
R13,M37,stable,0.09
R13,M38,stable,0.05
R13,M39,stable,0.07
R13,M40,stable,0.03
R13,M41,stable,0.07
R13,M42,stable,0.08
R13,M43,stable,0.04
R13,M44,stable,0.07
R13,M45,stable,0.07
R13,M46,stable,0.12
R13,M47,stable,0.04
R13,M48,stable,0.08
R13,M49,stable,0.09
R13,M50,stable,0.07
R14,M01,stable,0.11
R14,M02,stable,0.1
R14,M03,stable,0.1
R14,M04,stable,0.08
R14,M05,stable,0.1
R14,M06,stable,0.11
R14,M07,stable,0.06
R14,M08,stable,0.09
R14,M09,stable,0.12
R14,M10,stable,0.13
R14,M11,stable,0.11
R14,M12,stable,0.11
R14,M13,stable,0.08
R14,M14,stable,0.13
R14,M15,stable,0.13
R14,M16,stable,0.11
R14,M17,stable,0.11
R14,M18,stable,0.08
R14,M19,stable,0.07
R14,M20,stable,0.04
R14,M21,stable,0.1
R14,M22,stable,0.05
R14,M23,stable,0.09
R14,M24,stable,0.06
R14,M25,stable,0.08
R14,M26,stable,0.09
R14,M27,stable,0.07
R14,M28,stable,0.08
R14,M29,stable,0.07
R14,M30,stable,0.07
R14,M31,stable,0.13
R14,M32,stable,0.06
R14,M33,stable,0.05
R14,M34,stable,0.08
R14,M35,stable,0.06
R14,M36,stable,0.08
R14,M37,stable,0.06
R14,M38,stable,0.09
R14,M39,stable,0.12
R14,M40,stable,0.09
R14,M41,stable,0.09
R14,M42,stable,0.08
R14,M43,stable,0.08
R14,M44,stable,0.05
R14,M45,stable,0.12
R14,M46,stable,0.08
R14,M47,stable,0.09
R14,M48,stable,0.07
R14,M49,stable,0.11
R14,M50,stable,0.08
R15,M01,stable,0.12
R15,M02,stable,0.06
R15,M03,stable,0.11
R15,M04,stable,0.09
R15,M05,stable,0.12
R15,M06,stable,0.08
R15,M07,stable,0.08
R15,M08,stable,0.06
R15,M09,stable,0.14
R15,M10,stable,0.11
R15,M11,stable,0.09
R15,M12,stable,0.08
R15,M13,stable,0.1
R15,M14,stable,0.1
R15,M15,stable,0.13
R15,M16,stable,0.12
R15,M17,stable,0.12
R15,M18,stable,0.12
R15,M19,stable,0.08
R15,M20,stable,0.1
R15,M21,stable,0.09
R15,M22,stable,0.08
R15,M23,stable,0.09
R15,M24,stable,0.08
R15,M25,stable,0.06
R15,M26,stable,0.09
R15,M27,stable,0.11
R15,M28,stable,0.08
R15,M29,stable,0.09
R15,M30,stable,0.08
R15,M31,stable,0.11
R15,M32,stable,0.09
R15,M33,stable,0.08
R15,M34,stable,0.11
R15,M35,stable,0.1
R15,M36,stable,0.1
R15,M37,stable,0.1
R15,M38,stable,0.11
R15,M39,stable,0.09
R15,M40,stable,0.08
R15,M41,stable,0.08
R15,M42,stable,0.1
R15,M43,stable,0.09
R15,M44,stable,0.09
R15,M45,stable,0.08
R15,M46,stable,0.12
R15,M47,stable,0.08
R15,M48,stable,0.07
R15,M49,stable,0.08
R15,M50,stable,0.1
