menu_item_id,menu_item_name,ingredient_id,ingredient_name,count_per_item,unit
M45,Combo #3 Double Burger Meal,ING003,Beef Patty,2,count
M45,Combo #3 Double Burger Meal,ING040,Bacon Strip,2,count
M45,Combo #3 Double Burger Meal,ING004,Cheese Slice,2,count
M45,Combo #3 Double Burger Meal,ING029,Pickles,1,count
M45,Combo #3 Double Burger Meal,ING008,Onion Portion,1,count
M45,Combo #3 Double Burger Meal,ING030,Ketchup,1,count
M45,Combo #3 Double Burger Meal,ING031,Mustard,1,count
M45,Combo #3 Double Burger Meal,ING034,Frozen Fries,1,count
M45,Combo #3 Double Burger Meal,ING035,Frying Oil,1,count
M45,Combo #3 Double Burger Meal,ING036,Salt,1,count
M45,Combo #3 Double Burger Meal,ING037,Soft Drink Syrup,1,count
M45,Combo #3 Double Burger Meal,ING038,Carbonated Water,1,count
M45,Combo #3 Double Burger Meal,ING115,Ice Portion,1,count
M46,Combo #4 Nuggets Meal,ING026,Chicken Nuggets,6,count
M46,Combo #4 Nuggets Meal,ING034,Frozen Fries,1,count
M46,Combo #4 Nuggets Meal,ING035,Frying Oil,1,count
M46,Combo #4 Nuggets Meal,ING036,Salt,1,count
M46,Combo #4 Nuggets Meal,ING037,Soft Drink Syrup,1,count
M46,Combo #4 Nuggets Meal,ING038,Carbonated Water,1,count
M46,Combo #4 Nuggets Meal,ING115,Ice Portion,1,count
M09,Crispy Chicken Sandwich,ING128,Sandwich Bun,1,count
M09,Crispy Chicken Sandwich,ING039,Crispy Chicken Patty,1,count
M09,Crispy Chicken Sandwich,ING029,Pickles,1,count
M09,Crispy Chicken Sandwich,ING129,Sandwich Sauce Portion,1,count
M02,Double Bacon Burger,ING002,Burger Bun,1,count
M02,Double Bacon Burger,ING003,Beef Patty,2,count
M02,Double Bacon Burger,ING040,Bacon Strip,2,count
M02,Double Bacon Burger,ING004,Cheese Slice,2,count
M02,Double Bacon Burger,ING029,Pickles,1,count
M02,Double Bacon Burger,ING008,Onion Portion,1,count
M02,Double Bacon Burger,ING030,Ketchup,1,count
M02,Double Bacon Burger,ING031,Mustard,1,count
M16,French Fries Large,ING034,Frozen Fries,1,count
M16,French Fries Large,ING035,Frying Oil,1,count
M16,French Fries Large,ING036,Salt,1,count
M15,French Fries Regular,ING034,Frozen Fries,1,count
M15,French Fries Regular,ING035,Frying Oil,1,count
M15,French Fries Regular,ING036,Salt,1,count
M36,Fruit Cup,ING119,Mixed Fruit Portion,1,count
M10,Grilled Chicken Wrap,ING010,Flour Tortilla,1,count
M10,Grilled Chicken Wrap,ING022,Grilled Chicken Portion,1,count
M10,Grilled Chicken Wrap,ING007,Lettuce Portion,1,count
M10,Grilled Chicken Wrap,ING043,Tomato,1,count
M10,Grilled Chicken Wrap,ING013,Cheese Portion,1,count
M10,Grilled Chicken Wrap,ING144,Wrap Sauce Portion,1,count
M34,Hash Browns,ING044,Hash Browns,1,count
M34,Hash Browns,ING035,Frying Oil,1,count
M25,Iced Tea,ING046,Black Tea,1,count
M25,Iced Tea,ING115,Ice Portion,1,count
M07,Kids Burger,ING002,Burger Bun,1,count
M07,Kids Burger,ING003,Beef Patty,1,count
M07,Kids Burger,ING029,Pickles,1,count
M07,Kids Burger,ING008,Onion Portion,1,count
M07,Kids Burger,ING030,Ketchup,1,count
M07,Kids Burger,ING031,Mustard,1,count
M47,Kids Combo Meal,ING002,Burger Bun,1,count
M47,Kids Combo Meal,ING003,Beef Patty,1,count
M47,Kids Combo Meal,ING029,Pickles,1,count
M47,Kids Combo Meal,ING008,Onion Portion,1,count
M47,Kids Combo Meal,ING030,Ketchup,1,count
M47,Kids Combo Meal,ING031,Mustard,1,count
M47,Kids Combo Meal,ING034,Frozen Fries,1,count
M47,Kids Combo Meal,ING035,Frying Oil,1,count
M47,Kids Combo Meal,ING036,Salt,1,count
M47,Kids Combo Meal,ING037,Soft Drink Syrup,1,count
M47,Kids Combo Meal,ING038,Carbonated Water,1,count
M47,Kids Combo Meal,ING115,Ice Portion,1,count
M26,Lemonade,ING118,Lemonade Beverage Portion,1,count
M26,Lemonade,ING115,Ice Portion,1,count
M49,Loaded Nachos,ING048,Seasoned Tortilla Chips,1,count
M49,Loaded Nachos,ING102,Cheese Sauce Portion,1,count
M49,Loaded Nachos,ING130,Seasoned Meat Portion,1,count
M49,Loaded Nachos,ING049,Jalapeno,1,count
M49,Loaded Nachos,ING015,Salsa Portion,1,count
M49,Loaded Nachos,ING050,Sour Cream,1,count
M22,Loaded Potato Bites,ING051,Potato Bites,1,count
M22,Loaded Potato Bites,ING013,Cheese Portion,1,count
M22,Loaded Potato Bites,ING040,Bacon Strip,1,count
M22,Loaded Potato Bites,ING050,Sour Cream,1,count
M21,Mac and Cheese,ING052,Macaroni,1,count
M21,Mac and Cheese,ING102,Cheese Sauce Portion,1,count
M28,Milkshake Chocolate,ING138,Vanilla Shake Base Portion,1,count
M28,Milkshake Chocolate,ING106,Chocolate Syrup Portion,1,count
M28,Milkshake Chocolate,ING143,Whipped Topping Portion,1,count
M27,Milkshake Vanilla,ING138,Vanilla Shake Base Portion,1,count
M27,Milkshake Vanilla,ING143,Whipped Topping Portion,1,count
M18,Mozzarella Sticks,ING120,Mozzarella Stick Portion,1,count
M18,Mozzarella Sticks,ING057,Marinara Sauce,1,count
M04,Mushroom Swiss Burger,ING002,Burger Bun,1,count
M04,Mushroom Swiss Burger,ING003,Beef Patty,1,count
M04,Mushroom Swiss Burger,ING136,Swiss Cheese Slice,1,count
M04,Mushroom Swiss Burger,ING058,Mushroom,1,count
M04,Mushroom Swiss Burger,ING008,Onion Portion,1,count
M04,Mushroom Swiss Burger,ING100,Burger Sauce Portion,1,count
M35,Oatmeal Cup,ING121,Oatmeal Portion,1,count
M35,Oatmeal Cup,ING112,Fruit Topping Portion,1,count
M17,Onion Rings,ING060,Onion Rings,1,count
M17,Onion Rings,ING035,Frying Oil,1,count
M33,Pancake Platter,ING122,Pancake,3,count
M33,Pancake Platter,ING018,Butter Portion,1,count
M33,Pancake Platter,ING123,Pancake Syrup Portion,1,count
M48,Seasonal Fish Sandwich,ING128,Sandwich Bun,1,count
M48,Seasonal Fish Sandwich,ING110,Fish Patty,1,count
M48,Seasonal Fish Sandwich,ING004,Cheese Slice,1,count
M48,Seasonal Fish Sandwich,ING063,Tartar Sauce,1,count
M19,Side Salad,ING042,Mixed Greens,1,count
M19,Side Salad,ING043,Tomato,1,count
M19,Side Salad,ING065,Cucumber,1,count
M19,Side Salad,ING127,Salad Dressing Portion,1,count
M24,Soft Drink Large,ING037,Soft Drink Syrup,1,count
M24,Soft Drink Large,ING038,Carbonated Water,1,count
M24,Soft Drink Large,ING115,Ice Portion,1,count
M23,Soft Drink Regular,ING037,Soft Drink Syrup,1,count
M23,Soft Drink Regular,ING038,Carbonated Water,1,count
M23,Soft Drink Regular,ING115,Ice Portion,1,count
M42,Soft Serve Cone,ING139,Vanilla Soft Serve Portion,1,count
M42,Soft Serve Cone,ING114,Ice Cream Cone,1,count
M06,Spicy Jalapeno Burger,ING002,Burger Bun,1,count
M06,Spicy Jalapeno Burger,ING003,Beef Patty,1,count
M06,Spicy Jalapeno Burger,ING004,Cheese Slice,1,count
M06,Spicy Jalapeno Burger,ING049,Jalapeno,1,count
M06,Spicy Jalapeno Burger,ING133,Spicy Sauce Portion,1,count
M06,Spicy Jalapeno Burger,ING007,Lettuce Portion,1,count
M41,Sundae,ING139,Vanilla Soft Serve Portion,1,count
M41,Sundae,ING135,Sundae Topping Portion,1,count
M08,Turkey Burger,ING002,Burger Bun,1,count
M08,Turkey Burger,ING066,Turkey Patty,1,count
M08,Turkey Burger,ING007,Lettuce Portion,1,count
M08,Turkey Burger,ING043,Tomato,1,count
M08,Turkey Burger,ING008,Onion Portion,1,count
M08,Turkey Burger,ING100,Burger Sauce Portion,1,count
M03,Veggie Burger,ING002,Burger Bun,1,count
M03,Veggie Burger,ING141,Veggie Patty,1,count
M03,Veggie Burger,ING007,Lettuce Portion,1,count
M03,Veggie Burger,ING043,Tomato,1,count
M03,Veggie Burger,ING008,Onion Portion,1,count
M03,Veggie Burger,ING100,Burger Sauce Portion,1,count
M37,Yogurt Parfait,ING067,Yogurt,1,count
M37,Yogurt Parfait,ING041,Fruit Cup,1,count
M37,Yogurt Parfait,ING068,Granola,1,count
M51,Beef Rendang,ING096,Beef,1,count
M51,Beef Rendang,ING070,Coconut Milk,1,count
M51,Beef Rendang,ING071,Galangal,1,count
M51,Beef Rendang,ING072,Lemongrass,1,count
M51,Beef Rendang,ING132,Spices,1,count
M51,Beef Rendang,ING027,Chili,1,count
M52,Cendol,ING125,Rice Flour Jelly,1,count
M52,Cendol,ING070,Coconut Milk,1,count
M52,Cendol,ING075,Palm Sugar,1,count
M52,Cendol,ING076,Red Beans,1,count
M53,Char Kway Teow,ING077,Flat Rice Noodles,1,count
M53,Char Kway Teow,ING078,Prawns,1,count
M53,Char Kway Teow,ING107,Cockles,1,count
M53,Char Kway Teow,ING079,Bean Sprouts,1,count
M53,Char Kway Teow,ING080,Chives,1,count
M53,Char Kway Teow,ING081,Soy Sauce,1,count
M54,Chicken Chop,ING104,Chicken Thigh,1,count
M54,Chicken Chop,ING099,Black Pepper Sauce,1,count
M54,Chicken Chop,ING034,Frozen Fries,1,count
M54,Chicken Chop,ING033,Coleslaw,1,count
M55,Chicken Rice,ING103,Chicken,1,count
M55,Chicken Rice,ING124,Rice,1,count
M55,Chicken Rice,ING113,Ginger,1,count
M55,Chicken Rice,ING082,Garlic,1,count
M55,Chicken Rice,ING105,Chili Sauce,1,count
M55,Chicken Rice,ING065,Cucumber,1,count
M56,Iced Lemon Tea,ING046,Black Tea,1,count
M56,Iced Lemon Tea,ING117,Lemon,1,count
M56,Iced Lemon Tea,ING134,Sugar Syrup,1,count
M57,Kaya Toast Set,ING083,White Bread,1,count
M57,Kaya Toast Set,ING116,Kaya,1,count
M57,Kaya Toast Set,ING101,Butter,1,count
M57,Kaya Toast Set,ING131,Soft-Boiled Eggs,1,count
M58,Laksa,ING126,Rice Noodles,1,count
M58,Laksa,ING109,Fish Broth,1,count
M58,Laksa,ING137,Tamarind,1,count
M58,Laksa,ING085,Shrimp Paste,1,count
M58,Laksa,ING065,Cucumber,1,count
M58,Laksa,ING086,Mint,1,count
M59,Mushroom Soup,ING058,Mushroom,1,count
M59,Mushroom Soup,ING108,Cream,1,count
M59,Mushroom Soup,ING008,Onion Portion,1,count
M59,Mushroom Soup,ING082,Garlic,1,count
M59,Mushroom Soup,ING140,Vegetable Broth,1,count
M60,Nasi Lemak,ING124,Rice,1,count
M60,Nasi Lemak,ING070,Coconut Milk,1,count
M60,Nasi Lemak,ING087,Sambal,1,count
M60,Nasi Lemak,ING088,Anchovies,1,count
M60,Nasi Lemak,ING017,Egg,1,count
M60,Nasi Lemak,ING089,Peanuts,1,count
M61,Roti Canai,ING111,Flour,1,count
M61,Roti Canai,ING090,Ghee,1,count
M61,Roti Canai,ING017,Egg,1,count
M61,Roti Canai,ING142,Water,1,count
M61,Roti Canai,ING091,Curry Sauce,1,count
M62,Spaghetti Carbonara,ING092,Spaghetti,1,count
M62,Spaghetti Carbonara,ING017,Egg,1,count
M62,Spaghetti Carbonara,ING013,Cheese Portion,1,count
M62,Spaghetti Carbonara,ING097,Beef Bacon,1,count
M62,Spaghetti Carbonara,ING098,Black Pepper,1,count
M63,Tandoori Chicken,ING103,Chicken,1,count
M63,Tandoori Chicken,ING067,Yogurt,1,count
M63,Tandoori Chicken,ING093,Tandoori Masala,1,count
M63,Tandoori Chicken,ING113,Ginger,1,count
M63,Tandoori Chicken,ING082,Garlic,1,count
M64,Teh Tarik,ING046,Black Tea,1,count
M64,Teh Tarik,ING094,Condensed Milk,1,count
M64,Teh Tarik,ING095,Evaporated Milk,1,count
