restaurant_id,ingredient_id,ingredient_name,category,current_stock,unit,expiry_date,days_to_expiry,remaining_days,days_expired,status,expiry_status,expiry_risk,forecasted_demand,forecast_horizon_days,forecast_daily_demand,expected_demand_until_expiry,surplus_quantity,surplus_ratio,waste_risk,recommendations,promotion_recommended,demand_source,forecast_match_status,supplier_id,supplier_name,storage_type,batch_id,projected_ending_stock,stockout_risk,order_required
R01,ING053,Milk,Dairy & Chilled,77.7,kg,2025-12-18,0,0,14,Expired,expired,critical,,,7.53,0.0,77.7,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Chilled,BATCH-053-A,,,
R01,ING055,Whipped Cream,Dairy & Chilled,86.1,kg,2025-12-19,0,0,13,Expired,expired,critical,,,7.62,0.0,86.1,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-055-A,,,
R01,ING058,Mushroom,Fresh Produce,31.4,kg,2025-12-17,0,0,15,Expired,expired,critical,,,1.76,0.0,31.4,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Chilled,BATCH-058-A,,,
R01,ING060,Onion Rings,Fresh Produce,18.7,kg,2025-12-20,0,0,12,Expired,expired,critical,,,5.95,0.0,18.7,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-060-A,,,
R01,ING064,Green Beans,Fresh Produce,34.0,kg,2025-12-17,0,0,15,Expired,expired,critical,,,4.16,0.0,34.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP04,PantryPro Distribution,Chilled,BATCH-064-A,,,
R01,ING065,Cucumber,Fresh Produce,62.8,kg,2025-12-11,0,0,21,Expired,expired,critical,,,4.77,0.0,62.8,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-065-A,,,
R01,ING067,Yogurt,Dairy & Chilled,43.3,kg,2025-12-24,0,0,8,Expired,expired,critical,,,3.59,0.0,43.3,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-067-A,,,
R01,ING070,Coconut Milk,Dairy & Chilled,15.2,kg,2025-12-16,0,0,16,Expired,expired,critical,,,8.72,0.0,15.2,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-070-A,,,
R01,ING071,Galangal,Fresh Produce,30.9,kg,2025-12-17,0,0,15,Expired,expired,critical,,,3.77,0.0,30.9,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP01,FreshLink SG,Chilled,BATCH-071-A,,,
R01,ING072,Lemongrass,Fresh Produce,49.0,kg,2025-12-17,0,0,15,Expired,expired,critical,,,5.79,0.0,49.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-072-A,,,
R01,ING076,Red Beans,Fresh Produce,15.4,kg,2025-12-15,0,0,17,Expired,expired,critical,,,1.88,0.0,15.4,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP01,FreshLink SG,Chilled,BATCH-076-A,,,
R01,ING079,Bean Sprouts,Fresh Produce,100.6,kg,2025-12-14,0,0,18,Expired,expired,critical,,,4.16,0.0,100.6,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP04,PantryPro Distribution,Chilled,BATCH-079-A,,,
R01,ING080,Chives,Fresh Produce,6.7,kg,2025-12-14,0,0,18,Expired,expired,critical,,,3.41,0.0,6.7,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-080-A,,,
R01,ING082,Garlic,Fresh Produce,9.3,kg,2025-12-17,0,0,15,Expired,expired,critical,,,2.22,0.0,9.3,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP02,Lion City Foods,Chilled,BATCH-082-A,,,
R01,ING083,White Bread,Bakery,39.3,pack,2025-12-19,0,0,13,Expired,expired,critical,,,2.72,0.0,39.3,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP03,Harbour Cold Chain,Ambient,BATCH-083-A,,,
R01,ING086,Mint,Fresh Produce,30.7,kg,2025-12-18,0,0,14,Expired,expired,critical,,,3.81,0.0,30.7,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP01,FreshLink SG,Chilled,BATCH-086-A,,,
R01,ING095,Evaporated Milk,Dairy & Chilled,69.0,kg,2025-12-18,0,0,14,Expired,expired,critical,,,7.32,0.0,69.0,1.0,critical,remove_from_usable_inventory_and_follow_disposal_procedure,False,inventory_avg_daily_usage,no_inventory_forecast_mapping,SUP05,Metro Food Supply,Chilled,BATCH-095-A,,,
